,spotify_track_uri,master_metadata_track_name,ms_played
0,spotify:track:5nS9WEWYnbQDBAe81SHhDP,Hotel California (Cover),38400205
1,spotify:track:1rEA1VSVUMpeKcBBG1Huaz,Restless Wind,29638250
2,spotify:track:6eQYZ57P28uc8caJagxYcZ,Shape of Love,25017006
3,spotify:track:1BfpkwzniQ9ZdOVUdbPkIx,Moon on the Water,22344282
4,spotify:track:3maGfEFgPZBaSQwfB5f56L,Someday,21303997
5,spotify:track:47mouGTKibhdzYVM2IykqK,Let Me Dream a While,19828208
6,spotify:track:6UNaiTRwjQvTqeZGMl4XxM,Where the Lights Hang Low,19084349
7,spotify:track:0JmiBCpWc1IAc0et7Xm7FL,Let Her Go,18341651
8,spotify:track:5RbR7ejvTw5AHFBQTK1Y1g,"Sometimes It's Something, Sometimes It's Nothing at All",15276710
9,spotify:track:189UhbQqja35DebsP8SjYy,If You Go,14928640
10,spotify:track:09t8F6vwElB6scMtsGpyaP,Rosie,14339748
11,spotify:track:31AGmrOTTpVVLDvESPT2LM,Only Time,13434679
12,spotify:track:4s575iMan4W6iHefLPqYsi,"Paper Cut, Chinese Burn",12983068
13,spotify:track:1DyalUOGIPCiPPJDT3zUhM,When We Were Young,11801837
14,spotify:track:1pkl6GTjpxm60LaTBDCd1p,Helplessly Lost,11798305
15,spotify:track:0Dv23k5ErS9XO9U2BYRI0F,And I Love Her,10856066
16,spotify:track:78RfE9x4JVwnQYqMQRTcNw,The Boy Who Cried Wolf,10472069
17,spotify:track:32PwKptR5PhpP4Gxv8Lvps,Sword from the Stone,10397888
18,spotify:track:5NsvxfpGzOXalL32GAH8Fr,Whispers,10117430
19,spotify:track:43rzjLC9fz9Dm8FO44NJq0,Home,10052201
20,spotify:track:70HWRkitkAKfos500LBk0T,Simple Song,9651715
21,spotify:track:5Hns4QCzf74Qre9eqqvU2j,Life's for the Living,9468982
22,spotify:track:5KL2N28x2yosjjdVog8c3K,Why Can't I Change,9203231
23,spotify:track:0IknWdl7UzA71oKRQneQ41,"Young as the Morning, Old as the Sea",9086766
24,spotify:track:1wJNpWv8GbyEVAxoxlf3gT,Losing My Religion (Cover),7963318
25,spotify:track:0O6lze2TCynV8fpwxyVRPj,Feather On the Clyde,7535552
26,spotify:track:4XlS03Ic1tDsoFjEyZdZ9I,A Song for the Drunk and Broken Hearted,7350255
27,spotify:track:4gSBbAnct4qt5XbkCbTdnc,When We Were Young,7335805
28,spotify:track:1YMVXl39bk37KZGuUhzRw6,Fast Car (Cover),6977028
29,spotify:track:3MhAnUTMs8BuGmGP73wo3L,Birds That Flew and Ships That Sailed,6769419
30,spotify:track:783ICUdmtVQgg1meszkCfS,If You Go,6641277
31,spotify:track:170sne6Q3FktcEFxfK6oTR,Young as the Morning Old as the Sea,6169006
32,spotify:track:7ILdDDPl2qkHrt54mdE1x8,The Wrong Direction,6144964
33,spotify:track:0OJg8K1N7UX3QM2HafN0L4,Hell Or High Water,6094784
34,spotify:track:1Fro7QinC1paXUGECjqStb,Life's for the Living,5913333
35,spotify:track:3V2pTc1zYbZGzHlyd3YtlH,Anywhere,5911136
36,spotify:track:3r0Wm7P2DpfQ5XAPYAknk5,Golden Leaves,5855045
37,spotify:track:3GKrqEZ0fZpVnD1A0BeAK9,Scare Away the Dark,5841589
38,spotify:track:3SbJxOUJonUs0s5RKeMFAB,Golden Leaves,5658830
39,spotify:track:5trCTnd404oomhaYQKWWNj,Winter Coats,5573090
40,spotify:track:7aHpYM3FtwNtPfq1Xa0CkM,Girl from the North Country (Cover),5484993
41,spotify:track:6QeSCvsJj4g112mxfrMmYk,Things That Stop You Dreaming,5354582
42,spotify:track:0fbi6F2BG3Ayb8xEuxUspt,The Wrong Direction,5182372
43,spotify:track:02KgB1Qyk4PrFweUMGl9NO,The Boy Who Cried Wolf,5141699
44,spotify:track:5rEvuW4YhwobKwGL1HPrXA,Let Her Go,5053151
45,spotify:track:5sHlU2ejWIzJDHgSrwSxx6,Anywhere,4973004
46,spotify:track:0u6nYok4H73qd4NnNYkYeI,Caravan,4549112
47,spotify:track:2uyfgIj0vJT3HiLogBQZi6,Blink of an Eye,4375611
48,spotify:track:0FYXksYZgtrklnipoeznrV,Suzanne,4306807
49,spotify:track:4FqAHRowfKt3SQ95esv1Yz,Holes,4150995
50,spotify:track:3azpno9j10oPZTMmu6lsLW,To Be Free,4080989
51,spotify:track:2sa9U03JcygLZLSWdVZ7vb,Heart's On Fire,4028149
52,spotify:track:5Crf0Co1002kXv1xMySyjR,Things That Stop You Dreaming,4004947
53,spotify:track:0qzn4P4kYOsFyuOEtd2ful,All the Little Lights - Acoustic,3679469
54,spotify:track:4M75a1sblkwmeD9pfgxE1v,Catch in the Dark,3541953
55,spotify:track:2oXvizvCiIIpkyVyzQS6Qr,What You're Thinking,3533415
56,spotify:track:0FmfRErQFP13h77PKWCawW,Bird in Flight,3516785
57,spotify:track:745FLeU4VhMRjktPoF6Alg,All the Little Lights (Acoustic Version),3388925
58,spotify:track:48F4naKd2MfCcE6aGUjuyJ,Setting Suns - Live from Spotify London,3316566
59,spotify:track:0pj8UWWVAzLoZYiKzafUjS,Thunder,3261177
60,spotify:track:5A0lGogOBtescBa86qN2ZS,The Long Road,3250768
61,spotify:track:7DCCzTrJH7Vt8fygLeOH6E,Somebody's Love,3238848
62,spotify:track:6nd9ZMftN6tfm2YAoUvK7f,Beautiful Birds (feat. Birdy),3180959
63,spotify:track:5UIqUgIsDD98sHFH9kkodb,Heart To Love,3164444
64,spotify:track:6HpLye7eG3QBCHM8QAMOjx,Things You've Never Done,3159477
65,spotify:track:4JPB2Kjr3lkMJFz4sZnt6G,Fool's Gold - Acoustic,3048835
66,spotify:track:5Wu8be1j6TkIt0lgqhtmvD,I'll Be Your Man,3033603
67,spotify:track:17VHkJ5zeQBRHL3i0J0jT8,Fear of Fear,2881420
68,spotify:track:00GL3XaK1sBpnB2eaam9SG,Ghost Town,2835371
69,spotify:track:57ScsSMeanokdcSxtz9tvp,Nothing Aches Like a Broken Heart,2818783
70,spotify:track:3jw3FrxV3DgcnAMVJTNLpj,Tip of My Tongue,2743166
